name_ar,name_en,price,image,link
"كونترولوك 20ملجم | 14 قرص | 2 شريط","Controloc 20mg | 14 Tabs | 2 Strips","100","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/controloc-antacid-20mg-14tab-01718194924.png","https://chefaa.com/eg-ar/nowProduct/controloc-antacid-20mg-14tab"
"اقراص دوليبران 1000 باراسيتامول doliprane | ١٥ قرص","Doliprane Pain & Fever 1000mg | 15 Tabs","48","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/novaldol-analgesic-and-pain-killer-1000-mg-15-tablets-01754834008.png","https://chefaa.com/eg-ar/nowProduct/novaldol-analgesic-and-pain-killer-1000-mg-15-tablets"
"بانادول كولد اند فلو علاج فعال لأعراض البرد و الإنفلونزا | ...","Panadol Cold & Flu Non-Drowsy for Effective Relief from Col...","76","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panadol-cold-and-flu-day-01757586304.png","https://chefaa.com/eg-ar/nowProduct/panadol-cold-and-flu-day"
"ايريوس أقراص لحساسية الانف والارتيكاريا 5 مجم |20 قرص","Aerius Anti- Allergy & Urticaria 5mg | 20 Tabs","118","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/aerius-5mg-30-tab-01744709703.png","https://chefaa.com/eg-ar/nowProduct/aerius-5mg-30-tab"
"نازونيكس 0.05% بخاخ للانف موميتازون فيورات مونوهيدرات 120 ب...","Nasonex 0.05% Mometasone Furoate Monohydrate Nasal Spray 12...","157","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/nasonex-005-mometasone-furoate-monohydrate-aqueous-nasal-spray-scent-free-18-grw0tq-01744709642.png","https://chefaa.com/eg-ar/nowProduct/nasonex-005-mometasone-furoate-monohydrate-aqueous-nasal-spray-scent-free-18-grW0TQ"
"تلفاست مضاده للحساسية ولا تسبب النعاس 120مجم | 20 قرص","Telfast Allergy Non Sedating 120 mg For Allergic Rhinitis |...","116","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/telfast-antihistamine-allergy-tablets-120-mg-20-tablets-01742218104.png","https://chefaa.com/eg-ar/nowProduct/telfast-antihistamine-allergy-tablets-120-mg-20-tablets"
"بخاخ نازاكورت للانف للحساسية واحتقان الانف 55 ميكجم | 120جرعه","Nasacort AQ Allergy Nasal spray suspension 55 micrograms/do...","151","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/nasacort-aq-allergy-nasal-spray-suspension-55-microgramsdose-24-hours-relief-of-nasal-congestion-sneezing-runny-nose-itchy-nose-01742217532.png","https://chefaa.com/eg-ar/nowProduct/nasacort-aq-allergy-nasal-spray-suspension-55-microgramsdose-24-hours-relief-of-nasal-congestion-sneezing-runny-nose-itchy-nose"
"انتروجرمينا امبول بروبيوتيك للقولون للاطفال والكبار 2 مليار...","Enterogermina Probiotics 2 Billion/5ml Oral Suspension Rest...","180","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/enterogermina-oral-suspension-2-billion-5ml-20-vials-fvga-01742215810.png","https://chefaa.com/eg-ar/nowProduct/enterogermina-oral-suspension-2-billion-5ml-20-vials-fvga"
"دواء برونشيكم شراب للكبار وللاطفال للكحة bronchicum syrup |...","Bronchicum Anti cough Elixir herbal medicine used in case o...","69","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bronchicum-s-elixir-anti-cough-elixir-100-ml-01742214935.png","https://chefaa.com/eg-ar/nowProduct/bronchicum-s-elixir-anti-cough-elixir-100-ml"
"لينكس للبالغين | 14 كبسولة","Linex Adults | 14 Caps","225","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/linex-adults-14-capsules-zkse-01724148665.png","https://chefaa.com/eg-ar/nowProduct/linex-adults-14-capsules-zkse"
"مالوكس اكياس maalox دواء للحموضه والحرقان - ليمون | 20 كيس","Maalox | Antacid Oral Suspensions Lemon Flavoring | 20 Sach...","120","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/maalox-antacid-oral-suspensions-in-sachets-lemon-flavoring-20-sachets-each-5ml-stomach-pain-heartburn-gastroesophageal-reflux-01742216957.png","https://chefaa.com/eg-ar/nowProduct/maalox-antacid-oral-suspensions-in-sachets-lemon-flavoring-20-sachets-each-5ml-stomach-pain-heartburn-gastroesophageal-reflux"
"انتوبرال ٢٠ مجم حبوب المعدة لعلاج الحموضة والحرقان | 14 قرص","Antopral 20mg Heartburn | 14 Tabs","88","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/antopral-20-mg-14-tab-djij-01732106352.png","https://chefaa.com/eg-ar/nowProduct/antopral-20-mg-14-tab-djij"
"تلفاست اقراص لحساسية الانف والارتيكاريا 180مجم | 20 قرص","Telfast Allergy Non-Sedating 180 mg | 20 Tablets","160","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/telfast-antihistamine-allergy-tablets-180-mg-20-tablets-01742218244.png","https://chefaa.com/eg-ar/nowProduct/telfast-antihistamine-allergy-tablets-180-mg-20-tablets"
"روتادايجست | 30 كبسولة","Rotadigest | 30 Caps","250","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/rotadigest-30-caps-2pg9-01744115078.png","https://chefaa.com/eg-ar/nowProduct/rotadigest-30-caps-2pg9"
"قطرة أوتريفين للكبار نقط للانف Otrivin للاحتقان والانسداد |...","Otrivin | Adult 0.1% Nasal Drops Unblocks Your Nose within ...","24","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/otrivin-nasal-drops-adult-15-ml-01757586554.png","https://chefaa.com/eg-ar/nowProduct/otrivin-nasal-drops-adult-15-ml"
"اقراص كونجستال للبرد congestal tab | ٢٠ قرص","Congestal To Treat Cold and Flu | 20 Tabs","50","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/congestal-tab-01668935220.png","https://chefaa.com/eg-ar/nowProduct/congestal-tab"
"برشام فياجرا 100 للرجال للانتصاب (سيلدينافيل 100 مجم) | 4 قرص","Viagra | Sexual Problems 100mg | 4 Tabs","144","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/viagra-100-mg-01721401458.png","https://chefaa.com/eg-ar/nowProduct/viagra-100-mg"
"بانادول مايجرين اقراص مسكن للصداع النصفي | 30 قرص","Panadol Migraine | 30 Tabs","51","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panadol-migraine-01757600065.png","https://chefaa.com/eg-ar/nowProduct/panadol-migraine"
"التراكايين جل مخدر موضعى ultracaine gel | ٣٠ جم","Ultracaine Gel 5% | 30gm","31","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/ultracaine-gel-5-30gm-mlrv-01666136042.png","https://chefaa.com/eg-ar/nowProduct/ultracaine-gel-5-30gm-1q5a"
"أوبلكس-ن شراب | للكحه وطارد للبلغم | 125 مل","Oplex-N Syrup | Cough and expectorant | 125 ml","31","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/oplex-n-syup-01736859156.png","https://chefaa.com/eg-ar/nowProduct/oplex-n-syup"
"دواء ميثايلتكنو للنساء والرجال Methyltechno بديل حقن فيتامي...","Methyltechno 1000mcg | 30 Orodissolvable Films","135","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/methyltechno-1000-mcg-30-orodissolvable-films-2hmo-01672675372.png","https://chefaa.com/eg-ar/nowProduct/methyltechno-1000-mcg-30-orodissolvable-films-2hmo"
